"full_name","epoch","e","a","i","om","w","ma","per"
"  463P/NEOWISE",2459433.5,0.8253,2.976,29.44,283.72,215.91,244.87,1.88e+03
"  464P/PANSTARRS",2459747.5,0.2809,4.69,21.67,309.61,267.73,335.12,3.71e+03
"  465P/Hill",2455766.5,0.6138,6.013,25.85,217.94,141.51,71.48,5.39e+03
"  466P/PANSTARRS",2459449.5,0.4669,4.044,12.24,119.89,196.59,285.06,2.97e+03
"  467P/LINEAR-Grauer",2456223.5,0.0715,5.701,2.53,44.09,264.66,100.30,4.97e+03
"  468P/Siding Spring",2457914.5,0.4448,7.147,50.36,356.10,322.25,238.40,6.98e+03
"  469P/PANSTARRS",2457212.5,0.3116,4.335,20.17,179.03,43.96,303.93,3.3e+03
"  470P/PANSTARRS",2459293.5,0.3886,4.462,8.84,246.24,152.25,254.92,3.44e+03
"  471P/LINEAR-Lemmon",2460149.5,0.6278,5.704,4.79,283.35,94.96,349.20,4.98e+03
"  472P/NEAT-LINEAR",2458237.5,0.5592,7.643,10.90,207.85,218.51,253.58,7.72e+03
"  473P/NEAT",2454679.5,0.8225,7.927,56.95,22.18,43.11,108.69,8.15e+03
"  474P/Hogan",2459488.5,0.1887,3.129,1.10,26.75,12.09,243.19,2.02e+03
"  475P/Spacewatch-LINEAR",2456149.5,0.4398,7.298,14.53,147.49,40.54,144.02,7.2e+03
"  476P/PANSTARRS",2458822.5,0.3483,4.756,18.86,59.25,47.24,189.07,3.79e+03
"  477P/PANSTARRS",2458577.5,0.4160,3.007,8.91,59.21,305.89,33.36,1.9e+03
"  478P/ATLAS",2460162.5,0.3436,3.647,12.52,127.28,13.11,321.83,2.54e+03
"  479P/Elenin",2460007.5,0.7786,5.62,15.39,295.85,263.49,328.31,4.87e+03
"  480P/PANSTARRS",2458340.5,0.2418,4.65,13.70,230.46,212.10,191.30,3.66e+03
"  481P/Lemmon-PANSTARRS",2458151.5,0.3365,4.785,6.12,94.51,352.74,173.14,3.82e+03
"  482P/PANSTARRS",2459655.5,0.4929,3.762,24.52,126.22,339.38,300.36,2.66e+03
