name,designation,full_name,spkid,epoch,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s,gm_km3_s2,mass_kg,diameter_km,radius_km,H,neo,pha,orbit_class
Klytia,73,    73 Klytia (A862 GA),20000073,2026-09-08 12:00:00,-127197820.2407964,327564893.3011934,159038412.2271589,-17.93721307851101,-5.127563132476448,-2.380590238036838,,,44.59,22.295,9.04,N,N,MBA
Galatea,74,    74 Galatea (A862 QA),20000074,2026-09-08 12:00:00,-446502396.515433,185406670.7973462,55953514.44584899,-8.22641809970575,-11.796418515235,-4.367751500776675,,,118.71,59.355,8.90,N,N,MBA
Eurydike,75,    75 Eurydike (A862 SA),20000075,2026-09-08 12:00:00,-511241003.1074361,41417835.25752239,21729278.79259184,0.3625279923922333,-11.95309044157548,-6.473060273036153,,,62.377,31.1885,9.22,N,N,MBA
Freia,76,    76 Freia (A862 UA),20000076,2026-09-08 12:00:00,107350295.9467683,384585624.9338768,153265705.3229704,-18.555580168353,3.638663287082518,1.129507141104074,,,145.423,72.7115,8.00,N,N,OMB
Frigga,77,    77 Frigga (A862 VA),20000077,2026-09-08 12:00:00,-248957547.4738632,-340393595.3187789,-164726097.7362408,13.20348522874675,-8.073496119078518,-3.925050032561495,,,61.39,30.695,8.58,N,N,MBA
Diana,78,    78 Diana (A863 EA),20000078,2026-09-08 12:00:00,417471256.8471642,-172334537.8106476,-71040867.61748496,4.481248532862385,12.60062561665861,7.98700118475031,,,120.6,60.3,8.39,N,N,MBA
Eurynome,79,    79 Eurynome (A863 RA),20000079,2026-09-08 12:00:00,-192672988.4548438,-363006780.3152659,-134557292.743673,14.6260570779585,-5.994459099096565,-1.544233833282835,,,63.479,31.7395,7.78,N,N,MBA
Sappho,80,    80 Sappho (A864 JA),20000080,2026-09-08 12:00:00,-346048100.387779,199875653.7368772,25552126.25866279,-9.804932279932782,-12.55011884501366,-4.717310203731675,,,68.563,34.2815,8.06,N,N,MBA
Terpsichore,81,    81 Terpsichore (A864 SA),20000081,2026-09-08 12:00:00,-325458659.6214671,-344548821.683157,-208040783.1562913,11.02275973098913,-7.688439177333207,-4.691495367573206,,,117.727,58.8635,8.66,N,N,MBA
Alkmene,82,    82 Alkmene (A864 WA),20000082,2026-09-08 12:00:00,-342872729.2637817,-46314058.98847991,-14469994.62819926,-0.2995829483417342,-18.98114090619522,-9.247742612262037,,,57.621,28.8105,8.26,N,N,MBA
