spkid,full_name,pdes,name,kind,neo,pha,class,H,diameter_km,gm_km3_s2
20023465, 23465 Yamashitakouhei (1989 UA1),23465,Yamashitakouhei,an,N,N,MBA,14.61,2.877,
20023466, 23466 (1990 DU4),23466,,an,N,N,MBA,14.75,6.066,
20023467, 23467 (1990 QS3),23467,,an,N,N,MBA,15.39,,
20023468, 23468 Kannabe (1990 SS3),23468,Kannabe,an,N,N,MBA,13.94,,
20023469, 23469 Neilpeart (1990 SY3),23469,Neilpeart,an,N,N,MBA,13.84,6.281,
20023470, 23470 (1990 SO8),23470,,an,N,N,MBA,15.20,,
20023471, 23471 Kawatamasaaki (1990 TH3),23471,Kawatamasaaki,an,N,N,MBA,14.58,8.624,
20023472, 23472 Rolfriekher (1990 TZ10),23472,Rolfriekher,an,N,N,MBA,14.45,4.128,
20023473, 23473 Voss (1990 TD12),23473,Voss,an,N,N,MBA,14.78,6.611,
20023474, 23474 (1990 UX1),23474,,an,N,N,MBA,13.97,4.933,
20023475, 23475 Nakazawa (1990 VM2),23475,Nakazawa,an,N,N,MBA,14.30,,
20023476, 23476 (1990 VE4),23476,,an,N,N,MBA,14.00,3.764,
20023477, 23477 Wallenstadt (1990 WS1),23477,Wallenstadt,an,N,N,MBA,13.76,5.457,
20023478, 23478 Chikumagawa (1991 BZ),23478,Chikumagawa,an,N,N,MBA,13.80,7.869,
20023479, 23479 (1991 CG),23479,,an,N,N,MBA,12.72,14.261,
20023480, 23480 (1991 EL),23480,,an,N,N,TJN,11.41,27.621,
20023481, 23481 (1991 GT4),23481,,an,N,N,MBA,14.75,,
20023482, 23482 (1991 LV),23482,,an,N,N,IMB,14.47,4.486,
20023483, 23483 (1991 LV4),23483,,an,N,N,MBA,15.39,2.400,
20023484, 23484 (1991 NC1),23484,,an,N,N,MBA,14.98,6.162,
20023485, 23485 (1991 NV6),23485,,an,N,N,MBA,13.87,10.566,
20023486, 23486 (1991 PE2),23486,,an,N,N,MBA,16.01,1.585,
20023487, 23487 (1991 PX4),23487,,an,N,N,MBA,13.96,9.456,
20023488, 23488 (1991 PF12),23488,,an,N,N,MBA,15.09,,
20023489, 23489 (1991 PU16),23489,,an,N,N,MBA,14.86,6.766,
20023490, 23490 Monikohl (1991 RK3),23490,Monikohl,an,N,N,MBA,13.86,,
20023491, 23491 (1991 RX17),23491,,an,N,N,MBA,14.19,4.551,
20023492, 23492 (1991 RA20),23492,,an,N,N,MBA,14.54,,
20023493, 23493 (1991 SO),23493,,an,N,N,MBA,15.11,,
20023494, 23494 (1991 SE2),23494,,an,N,N,MBA,14.66,,
20023495, 23495 Nagaotoshiko (1991 UQ1),23495,Nagaotoshiko,an,N,N,MBA,14.70,7.949,
20023496, 23496 (1991 VN3),23496,,an,N,N,MBA,15.10,,
20023497, 23497 (1991 VG4),23497,,an,N,N,MBA,14.00,3.842,
20023498, 23498 (1991 VH6),23498,,an,N,N,MBA,14.54,3.961,
20023499, 23499 (1991 VY12),23499,,an,N,N,MBA,14.05,4.132,
20023500, 23500 (1992 AT2),23500,,an,N,N,MBA,14.21,4.020,
20023501, 23501 (1992 CK1),23501,,an,N,N,MBA,14.10,4.558,
20023502, 23502 (1992 DE3),23502,,an,N,N,MBA,14.51,3.122,
20023503, 23503 (1992 DD4),23503,,an,N,N,MBA,15.11,,
20023504, 23504 Haneda (1992 EX),23504,Haneda,an,N,N,MBA,13.94,4.712,
20023505, 23505 (1992 EB4),23505,,an,N,N,MBA,14.59,3.315,
20023506, 23506 (1992 EC8),23506,,an,N,N,MBA,15.30,,
20023507, 23507 (1992 EQ13),23507,,an,N,N,MBA,14.62,7.665,
20023508, 23508 (1992 ET14),23508,,an,N,N,MBA,14.45,3.509,
20023509, 23509 (1992 HQ3),23509,,an,N,N,MBA,14.66,3.607,
20023510, 23510 (1992 PA2),23510,,an,N,N,MBA,15.60,2.191,
20023511, 23511 (1992 PB2),23511,,an,N,N,MBA,13.73,,
20023512, 23512 (1992 PC3),23512,,an,N,N,MBA,12.50,7.829,
20023513, 23513 (1992 PZ3),23513,,an,N,N,MBA,14.25,3.645,
20023514, 23514 Schneider (1992 RU),23514,Schneider,an,N,N,MBA,15.40,,
20023515, 23515 (1992 RF2),23515,,an,N,N,MBA,15.52,2.166,
20023516, 23516 (1992 RK2),23516,,an,N,N,MBA,15.44,5.948,
20023517, 23517 (1992 RO3),23517,,an,N,N,MBA,14.52,7.854,
20023518, 23518 (1992 SP1),23518,,an,N,N,MBA,13.80,9.925,
20023519, 23519 (1992 SG13),23519,,an,N,N,MBA,14.85,2.587,
20023520, 23520 Ludwigbechstein (1992 SM26),23520,Ludwigbechstein,an,N,N,MBA,15.65,,
20023521, 23521 (1992 US1),23521,,an,N,N,MBA,14.53,,
20023522, 23522 (1992 WC9),23522,,an,N,N,MBA,14.37,,
20023523, 23523 (1993 AQ),23523,,an,N,N,MBA,14.22,8.880,
20023524, 23524 Yuichitsuda (1993 BF3),23524,Yuichitsuda,an,N,N,MBA,14.06,4.343,
20023525, 23525 (1993 FS22),23525,,an,N,N,MBA,15.29,,
20023526, 23526 (1993 FJ32),23526,,an,N,N,MBA,15.40,,
20023527, 23527 (1993 FD37),23527,,an,N,N,MBA,14.96,,
20023528, 23528 (1993 FQ38),23528,,an,N,N,MBA,15.62,2.164,
20023529, 23529 (1993 FR45),23529,,an,N,N,MBA,15.36,3.482,
20023530, 23530 (1993 FV45),23530,,an,N,N,MBA,14.68,3.871,
20023531, 23531 (1993 FN62),23531,,an,N,N,MBA,15.08,,
20023532, 23532 (1993 JG1),23532,,an,N,N,MBA,15.00,2.732,
20023533, 23533 (1993 PU5),23533,,an,N,N,MBA,14.48,3.415,
20023534, 23534 (1993 QP3),23534,,an,N,N,MBA,14.35,4.434,
20023535, 23535 (1993 QL7),23535,,an,N,N,MBA,14.79,3.318,
20023536, 23536 (1993 QS9),23536,,an,N,N,MBA,14.64,4.934,
20023537, 23537 (1993 SA6),23537,,an,N,N,MBA,14.51,,
20023538, 23538 (1993 TM15),23538,,an,N,N,MBA,14.57,6.141,
20023539, 23539 (1993 TU15),23539,,an,N,N,MBA,14.62,,
20023540, 23540 (1993 TV19),23540,,an,N,N,MBA,13.68,5.565,
20023541, 23541 (1993 TU29),23541,,an,N,N,MBA,14.54,,
20023542, 23542 (1993 TN30),23542,,an,N,N,MBA,14.61,,
20023543, 23543 Saiki (1993 UK),23543,Saiki,an,N,N,MBA,13.07,7.220,
20023544, 23544 (1993 XW),23544,,an,N,N,MBA,12.77,19.006,
20023545, 23545 (1994 AC),23545,,an,N,N,MBA,14.64,3.172,
20023546, 23546 (1994 AV10),23546,,an,N,N,MBA,15.63,,
20023547, 23547 Tognelli (1994 DG),23547,Tognelli,an,N,N,MBA,13.76,4.614,
20023548, 23548 (1994 EF2),23548,,an,Y,N,AMO,17.28,,
20023549, 23549 Epicles (1994 ES6),23549,Epicles,an,N,N,TJN,11.76,17.505,
20023550, 23550 (1994 GK9),23550,,an,N,N,MBA,14.83,3.704,
20023551, 23551 (1994 GO9),23551,,an,N,N,MBA,14.16,4.991,
20023552, 23552 (1994 NB),23552,,an,N,N,MBA,13.66,,
20023553, 23553 (1994 PL4),23553,,an,N,N,MBA,14.59,,
20023554, 23554 (1994 PJ11),23554,,an,N,N,MBA,14.69,,
20023555, 23555 (1994 PP15),23555,,an,N,N,MBA,15.13,2.651,
20023556, 23556 (1994 PY25),23556,,an,N,N,MBA,15.16,,
20023557, 23557 (1994 PU26),23557,,an,N,N,MBA,15.48,2.100,
20023558, 23558 (1994 PW26),23558,,an,N,N,MBA,14.54,5.489,
20023559, 23559 (1994 PD32),23559,,an,N,N,MBA,14.74,3.025,
20023560, 23560 (1994 RX8),23560,,an,N,N,MBA,15.03,7.635,
20023561, 23561 (1994 RM12),23561,,an,N,N,MBA,14.24,3.473,
20023562, 23562 Hyodokenichi (1994 TR1),23562,Hyodokenichi,an,N,N,MBA,14.58,7.361,
20023563, 23563 (1994 UP8),23563,,an,N,N,MBA,14.87,,
20023564, 23564 Ungaretti (1994 VX1),23564,Ungaretti,an,N,N,MBA,14.24,,
20023565, 23565 (1994 WB),23565,,an,N,N,MBA,13.93,4.675,
20023566, 23566 (1994 WS1),23566,,an,N,N,MBA,13.83,,
20023567, 23567 (1994 YG),23567,,an,N,N,MBA,14.96,6.571,
20023568, 23568 (1994 YU),23568,,an,N,N,MBA,13.85,6.218,
20023569, 23569 (1994 YF1),23569,,an,N,N,MBA,13.61,7.538,
20023570, 23570 (1995 AA),23570,,an,N,N,MBA,14.41,,
20023571, 23571 Zuaboni (1995 AB),23571,Zuaboni,an,N,N,MBA,13.43,5.882,
20023572, 23572 (1995 AS2),23572,,an,N,N,MBA,14.17,,
20023573, 23573 (1995 BG),23573,,an,N,N,MBA,13.34,8.609,
